form	lemma	POS	morph
པ་	པ་	OTHER
འི་	གི་	PART
བ་	བ་	NOUN
ལ་	ལ་	ADP
འང་	ཀྱང་	PART
དེ་བཞིན་	དེ་བཞིན་	OTHER
ནོ་	གོ་	PART
།།		PUNCT
དེ་	དེ་	DET
གཉིས་	གཉིས་	NUM
བསྡོམས་པ་	བསྡོམས་པ་	VERB
ནི་	ནི་	NO_POS
ཆུ་ཚོད་	ཆུ་ཚོད་	NOUN
གཅིག་	གཅིག་	NUM
གོ་	གོ་	VERB
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
བ་	བ་	NOUN
ལ་	ལ་	ADP
རླུང་	རླུང་	NOUN
དྲུག་	དྲུག་	NUM
བརྒྱ་	བརྒྱ་	NUM
བདུན་ཅུ་	བདུན་ཅུ་	NO_POS
རྩ་	རྩ་	NUM
ལྔ་	ལྔ་	NUM
རྒྱུ་	རྒྱུ་	NOUN
འོ་	གོ་	PART
།།		PUNCT
ཆུ་ཚོད་	ཆུ་ཚོད་	NOUN
གཉིས་	གཉིས་	NUM
ནི་	ནི་	NO_POS
འཕོ་བ་	འཕོ་བ་	VERB
གཅིག་	གཅིག་	NUM
སྟེ་	སྟེ་	PART
ལུག་	ལུག་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
འི་	གི་	PART
མིང་	མིང་	NOUN
ངོ་	ངོ་	PART
། །		PUNCT
རླུང་	རླུང་	NOUN
ནི་	ནི་	NO_POS
སྟོང་	སྟོང་	NUM
སུམ་བརྒྱ་	སུམ་བརྒྱ་	OTHER
ལྔ་	ལྔ་	NUM
བཅུ་	བཅུ་	NUM
འོ་	གོ་	PART
། །		PUNCT
དེ་	དེ་	DET
ས་	གིས་	PART
ནི་	ནི་	NO_POS
སྣ་	སྣ་	NOUN
གཡས་གཡོན་	གཡས་གཡོན་	NOUN
གྱི་	གི་	PART
འཕོ་བ་	འཕོ་བ་	VERB
རྫོགས་	རྫོགས་	VERB
སོ་	སོ་	PART
། །		PUNCT
འཕོ་བ་	འཕོ་བ་	VERB
གཉིས་	གཉིས་	NUM
ནི་	ནི་	NO_POS
ཐུན་	ཐུན་	NOUN
བཞི་	བཞི་	NUM
ཕྱེད་	ཕྱེད་	NUM
དེ་	དེ་	DET
རླུང་	རླུང་	NOUN
ཉི་	ཉི་	NUM
སྟོང་	སྟོང་	NUM
བདུན་	བདུན་	NUM
བརྒྱ་	བརྒྱ་	NUM
འོ་	གོ་	PART
༑ ༑		PUNCT
དེ་	དེ་	DET
གཉིས་	གཉིས་	NUM
ནི་	ནི་	NO_POS
ཐུན་	ཐུན་	NOUN
གཅིག་	གཅིག་	NUM
སྟེ་	སྟེ་	PART
ལྔ་	ལྔ་	NUM
སྟོང་	སྟོང་	NUM
བརྒྱ་	བརྒྱ་	NUM
ར་	ལ་	PART
རླུང་	རླུང་	NOUN
རྒྱུ་	རྒྱུ་	NOUN
སྟེ་	སྟེ་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
གཅིག་	གཅིག་	NUM
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
རྫོགས་	རྫོགས་	VERB
སོ་	སོ་	PART
། །		PUNCT
དེ་	དེ་	DET
གཉིས་	གཉིས་	NUM
ལ་	ལ་	ADP
ཞག་	ཞག་	NOUN
ཕྱེད་	ཕྱེད་	NUM
དེ་	དེ་	DET
རླུང་	རླུང་	NOUN
ཁྲི་	ཁྲི་	NUM
བརྒྱད་	བརྒྱད་	NUM
བརྒྱ་	བརྒྱ་	NUM
།		PUNCT
དེ་	དེ་	DET
གཉིས་	གཉིས་	NUM
ལ་	ལ་	ADP
ཉིན་ཞག་	ཉིན་ཞག་	NOUN
གཅིག་	གཅིག་	NUM
སྟེ་	སྟེ་	PART
རླུང་	རླུང་	NOUN
ཉི་ཁྲི་	ཉི་ཁྲི་	OTHER
ཆིག་སྟོང་	ཆིག་སྟོང་	NO_POS
དྲུག་	དྲུག་	NUM
བརྒྱ་	བརྒྱ་	NUM
འོ་	གོ་	PART
། །		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
བུ་	བུ་	NOUN
འི་	གི་	PART
རླུང་	རླུང་	NOUN
སྟོང་	སྟོང་	NUM
བརྒྱད་	བརྒྱད་	NUM
བརྒྱ་པ་	བརྒྱ་པ་	NUM
རེ་	རེ་	DET
འགགས་པ་	འགགས་པ་	VERB
ས་	གིས་	PART
ས་	ས་	ADP
རེ་རེ་	རེ་རེ་	DET
མངོན་དུ་	མངོན་དུ་	NO_POS
བྱེད་	བྱེད་	VERB
དོ་	གོ་	PART
། །		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
ན་	ན་	ADP
ཕྱི་རོལ་	ཕྱི་རོལ་	NOUN
གྱི་	གི་	PART
ཐམས་ཅད་	ཐམས་ཅད་	DET
ལུས་	ལུས་	NOUN
ལ་	ལ་	ADP
ཆུད་པ་	ཆུད་པ་	VERB
ར་	ལ་	PART
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
ཐོས་བསམ་	ཐོས་བསམ་	NOUN
གྱིས་	གིས་	PART
གཏན་	གཏན་	NOUN
ལ་	ལ་	ADP
