form	lemma	POS	morph
རབ་	རབ་	ADV
སྟེ་	སྟེ་	PART
།		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
དང་	དང་	NO_POS
དྲིལ་བུ་	དྲིལ་བུ་	NOUN
དང་	དང་	NO_POS
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
འི་	གི་	PART
དེ་	དེ་	DET
ཁོ་ན་ཉིད་	ཁོ་ན་ཉིད་	NO_POS
བསྟན་པ་	བསྟན་པ་	VERB
འདི་	འདི་	DET
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
།།		PUNCT
དེའིདབང་		NON_WORD
གིས་	གིས་	PART
མྱོང་བ་	མྱོང་བ་	VERB
ནི་	ནི་	NO_POS
དགའ་	དགའ་	VERB
བྲལ་	བྲལ་	VERB
གྱི་	གི་	PART
དགའ་བ་	དགའ་བ་	VERB
ལ་	ལ་	ADP
འང་	ཀྱང་	PART
ཡོད་པ་	ཡོད་པ་	VERB
ས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
འདི་	འདི་	DET
ས་	གིས་	PART
ལག་	ལག་	NOUN
ཅངས་		NON_WORD
ཀྱི་	གི་	PART
དྲི་མ་	དྲི་མ་	NOUN
དག་པ་	དག་པ་	VERB
ར་	ལ་	PART
བྱེད་	བྱེད་	VERB
དོ་	གོ་	PART
གཉིས་	གཉིས་	NUM
གཉིས་	གཉིས་	NUM
སྤྲོད་པ་	སྤྲོད་པ་	VERB
འི་	གི་	PART
ཆགས་པ་	ཆགས་པ་	VERB
ནི་	ནི་	NO_POS
སུམ་ཅུ་རྩ་གསུམ་པ་	སུམ་ཅུ་རྩ་གསུམ་པ་	PROPN
ན་	ནས་	PART
གླིང་བཞི་པ་	གླིང་བཞི་པ་	NO_POS
འི་	གི་	PART
བ་	བ་	NOUN
ལ་	ལ་	ADP
ཡོད་	ཡོད་	VERB
ལ་	ལ་	ADP
།		PUNCT
དེ་དག་	དེ་དག་	OTHER
གིས་	གིས་	PART
བདེ་བ་	བདེ་བ་	VERB
གནང་	གནང་	NO_POS
ཞིང་	ཞིང་	SCONJ
དེ་	དེ་	DET
འི་	གི་	PART
དྲི་མ་	དྲི་མ་	NOUN
དག་པ་	དག་པ་	VERB
ར་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
ནི་	ནི་	NO_POS
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
བླ་	བླ་	NOUN
ན་	ན་	ADP
མེད་པ་	མེད་པ་	VERB
ཡིན་	ཡིན་	NO_POS
ལ་	ལ་	ADP
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
དབང་	དབང་	NOUN
གི་	གི་	PART
མཐའ་	མཐའ་	NOUN
ནི་	ནི་	NO_POS
དབང་	དབང་	NOUN
བཞི་པ་	བཞི་པ་	ADJ
ཡིན་	ཡིན་	NO_POS
ཞིང་	ཞིང་	SCONJ
དབང་	དབང་	NOUN
དེ་	དེ་	DET
འི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ནི་	ནི་	NO_POS
ལྷན་ཅིག་	ལྷན་ཅིག་	OTHER
སྐྱེས་པ་	སྐྱེས་པ་	VERB
འི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཡིན་པ་	ཡིན་པ་	AUX
ས་	གིས་	PART
འདི་	འདི་	DET
ས་	གིས་	PART
གཉིས་	གཉིས་	NUM
གཉིས་	གཉིས་	NUM
སྤྲོད་པ་	སྤྲོད་པ་	VERB
འི་	གི་	PART
དྲི་མ་	དྲི་མ་	NOUN
དག་པ་	དག་པ་	VERB
ར་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
ས་	གིས་	PART
ན་	ན་	ADP
ཆོ་	ཆོ་	NOUN
མཐུན་པ་	མཐུན་པ་	VERB
འོ་	གོ་	PART
༑༑		PUNCT
འདི་	འདི་	DET
ས་	གིས་	PART
འོག་	འོག་	NOUN
ན་	ནས་	PART
རྒྱུད་	རྒྱུད་	NOUN
བཞི་	བཞི་	NUM
ར་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
འི་	གི་	PART
དོན་	དོན་	NOUN
ཀྱང་	ཀྱང་	PART
གསལ་བ་	གསལ་བ་	VERB
ར་	ལ་	PART
བྱེད་	བྱེད་	VERB
ཅིང་	ཅིང་	PART
སྤྱི་	སྤྱི་	DET
ལ་	ལ་	ADP
སྦྱར་བ་	སྦྱར་བ་	VERB
བཤད་པ་	བཤད་པ་	VERB
ལུགས་	ལུགས་	NOUN
གཅིག་	གཅིག་	NUM
གོ་	གོ་	VERB
།		PUNCT
ཡང་ན་	ཡང་ན་	NO_POS
དགོད་པ་	དགོད་པ་	VERB
དག་པ་	དག་པ་	VERB
ནི་	ནི་	NO_POS
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
ཡིན་	ཡིན་	NO_POS
ལ་	ལ་	ADP
།		PUNCT
དགའ་བ་	དགའ་བ་	VERB
ས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
དེ་དག་པ་	དེ་དག་པ་	OTHER
ར་	ལ་	PART
བྱེད་	བྱེད་	VERB
དོ་	གོ་	PART
། །		PUNCT
ལྟ་བ་	ལྟ་བ་	VERB
དག་པ་	དག་པ་	VERB
ནི་	ནི་	NO_POS
གསང་དབང་	གསང་དབང་	NO_POS
གི་	གི་	PART
བྱང་སེམས་	བྱང་སེམས་	NOUN
ལྕེ་	ལྕེ་	NOUN
ལ་	ལ་	ADP
ལྟ་བ་	ལྟ་བ་	VERB
ས་	གིས་	PART
ཡིན་	ཡིན་	NO_POS
