form	lemma	POS	morph
༄༅། །		PUNCT
ཕྱོགས་	ཕྱོགས་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འཇམ་དབྱངས་	འཇམ་དབྱངས་	PROPN
ས་སྐྱ་	ས་སྐྱ་	PROPN
པཎྜི་ཏ་	པཎྜི་ཏ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
དཔལ་	དཔལ་	OTHER
བཟང་པོ་	བཟང་པོ་	ADJ
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ཀྱི་	གི་	PART
གསུང་རབ་	གསུང་རབ་	NOUN
དཔེ་	དཔེ་	NOUN
བསྡུ་	བསྡུ་	VERB
ར་	ལ་	PART
མ་	མ་	PART
པོད་	པོད་	NOUN
གཉིས་པ་	གཉིས་པ་	NUM
བཞུགས་	བཞུགས་	VERB
"། །

༄༅། །"		PUNCT
སྡོམ་པ་	སྡོམ་པ་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
རབ་ཏུ་	རབ་ཏུ་	NO_POS
དབྱེ་བ་	དབྱེ་བ་	VERB
འི་	གི་	PART
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
བཞུགས་	བཞུགས་	VERB
། ། ༄༅། །		PUNCT
སྡོམ་པ་	སྡོམ་པ་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
རབ་ཏུ་	རབ་ཏུ་	NO_POS
དབྱེ་བ་	དབྱེ་བ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	ADP
གུས་པ་	གུས་པ་	VERB
ས་	གིས་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	ལོ་	NOUN
