form	lemma	POS	morph
ཚེ་	ཚེ་	NOUN
དཔག་མེད་	དཔག་མེད་	ADJ
གསུང་	གསུང་	VERB
གི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
།		PUNCT
ཕྱག་	ཕྱག་	NOUN
ན་	ན་	ADP
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
།		PUNCT
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
ས་	གིས་	PART
སྒྱུར་བ་	སྒྱུར་བ་	VERB
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
གྱི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
།		PUNCT
མེ་	མེ་	NOUN
ལྟ་	ལྟ་	OTHER
འབར་བ་	འབར་བ་	VERB
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
ཀྱི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
གྱི་	གི་	PART
ལྷ་ཚོགས་	ལྷ་ཚོགས་	NOUN
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
བཀའ་	བཀའ་	NOUN
བདེན་པ་	བདེན་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
གཞན་	གཞན་	DET
ཡང་	ཀྱང་	PART
རྒྱ་	རྒྱ་	NOUN
ཡི་	ཡི་	ADP
རི་བོ་	རི་བོ་	NOUN
རྩེ་	རྩེ་	NOUN
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
ཕོ་བྲང་	ཕོ་བྲང་	NOUN
ན་	ནས་	PART
།		PUNCT
མཁྱེན་རབ་	མཁྱེན་རབ་	NOUN
ཀྱི་	གི་	PART
མངའ་བདག་	མངའ་བདག་	NOUN
འཕགས་པ་	འཕགས་པ་	VERB
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
།		PUNCT
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
།		PUNCT
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
སྨྲ་བ་	སྨྲ་བ་	VERB
འི་	གི་	PART
སེང་	སེང་	NOUN
གེའཇམ་		NON_WORD
དཔལ་	དཔལ་	OTHER
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ངག་	ངག་	NOUN
གི་	གི་	PART
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
དཔའ་བོ་	དཔའ་བོ་	NOUN
གྲུབ་པ་	གྲུབ་པ་	VERB
།		PUNCT
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
རོལ་པ་	རོལ་པ་	VERB
ལ་སོགས་	ལ་སོགས་	NO_POS
ཏེ་	སྟེ་	PART
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
གྱི་	གི་	PART
ལྷ་ཚོགས་	ལྷ་ཚོགས་	NOUN
དང་	དང་	NO_POS
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
གཤིན་རྗེ་	གཤིན་རྗེ་	OTHER
འི་	གི་	PART
གཤེད་པོ་	གཤེད་པོ་	NOUN
།		PUNCT
ཁྲོ་བོ་	ཁྲོ་བོ་	NOUN
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
།		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འཇིགས་བྱེད་	འཇིགས་བྱེད་	OTHER
།		PUNCT
གདོང་	གདོང་	NOUN
དྲུག་པ་	དྲུག་པ་	NUM
།		PUNCT
གདོང་	གདོང་	NOUN
བརྒྱ་པ་	བརྒྱ་པ་	NUM
།		PUNCT
བྱེ་བ་	བྱེ་བ་	NOUN
འི་	གི་	PART
ཕྱོགས་	ཕྱོགས་	NOUN
		
ཕྱག་	ཕྱག་	NOUN
		
ཅན་	ཅན་	PART
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
ཡུམ་	ཡུམ་	NOUN
སྐྲ་	སྐྲ་	NOUN
ཅན་	ཅན་	PART
མ་	མ་	PART
།		PUNCT
དྲྭ་བ་	དྲྭ་བ་	NON_WORD
ཅན་	ཅན་	PART
གྱི་	གི་	PART
འོད་	འོད་	NOUN
དང་	དང་	NO_POS
།		PUNCT
ཏྲ་		NON_WORD
མ་	མ་	PART
ཅན་	ཅན་	PART
ཟེར་བ་	ཟེར་བ་	VERB
འང་	ཀྱང་	PART
སྣང་	སྣང་	VERB
།		PUNCT
ལེགས་པ་	ལེགས་པ་	VERB
འི་	གི་	PART
བདག་ཉིད་	བདག་ཉིད་	NOUN
ཅན་	ཅན་	PART
དང་	དང་	NO_POS
།		PUNCT
དཔལ་	དཔལ་	OTHER
ཆེན་	ཆེན་	NO_POS
མོ་ལ་	མོ་ལ་	NO_POS
སོགས་	སོགས་	DET
ཏེ་	སྟེ་	PART
།		PUNCT
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
གྱི་	གི་	PART
ལྷ་ཚོགས་	ལྷ་ཚོགས་	NOUN
འཁོར་	འཁོར་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
བཀའ་	བཀའ་	NOUN
༴		PUNCT
པོ་	པོ་	PART
ཏཱ་ལ་	ཏཱ་ལ་	OTHER
འི་	གི་	PART
ཕོ་བྲང་	ཕོ་བྲང་	NOUN
ན་	ནས་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
བདག་པོ་	བདག་པོ་	NOUN
འཕགས་པ་	འཕགས་པ་	VERB
སྤྱན་རས་	སྤྱན་རས་	NO_POS
གཟིགས་	གཟིགས་	VERB
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
དོན་ཡོད་	དོན་ཡོད་	ADJ
ཞགས་པ་	ཞགས་པ་	NOUN
།		PUNCT
དོན་ཡོད་	དོན་ཡོད་	ADJ
ལྕགས་ཀྱུ་	ལྕགས་ཀྱུ་	NOUN
།		PUNCT
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
སེངྒེ་		NON_WORD
སྒྲ་	སྒྲ་	NOUN
།		PUNCT
ཁ་	ཁ་	PRON
སརྤ་		NON_WORD
ཎི་		NON_WORD
།		PUNCT
ཧ་ལ་	ཧ་ལ་	NO_POS
ཧ་ལ་	ཧ་ལ་	NO_POS
།		PUNCT
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
ནོར་བུ་	ནོར་བུ་	NOUN
།		PUNCT
ཕྱག་	ཕྱག་	NOUN
སྟོང་	སྟོང་	NUM
སྤྱན་	སྤྱན་	NOUN
སྟོང་	སྟོང་	NUM
ལ་སོགས་	ལ་སོགས་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
སྤྱན་རས་	སྤྱན་རས་	NO_POS
གཟིགས་	གཟིགས་	VERB
ཀྱི་	གི་	PART
ལྷ་ཚོགས་	ལྷ་ཚོགས་	NOUN
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
སྤྱན་རས་	སྤྱན་རས་	NO_POS
གཟིགས་	གཟིགས་	VERB
སྒྱུ་འཕྲུལ་	སྒྱུ་འཕྲུལ་	PROPN
དྲྭ་བ་	དྲྭ་བ་	NON_WORD
།		PUNCT
རྟ་མགྲིན་	རྟ་མགྲིན་	PROPN
།		PUNCT
རྟ་མགྲིན་	རྟ་མགྲིན་	PROPN
དཀར་པོ་	དཀར་པོ་	ADJ
།		PUNCT
མཐའ་	མཐའ་	NOUN
ཡ་		
མགྲིན་	མགྲིན་	NOUN
༑		PUNCT
མགྲིན་སྔོན་	མགྲིན་སྔོན་	PROPN
།		PUNCT
རྒྱུ་སྐར་	རྒྱུ་སྐར་	NOUN
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
སྒྲོལ་མ་	སྒྲོལ་མ་	PROPN
།		PUNCT
སྒྲོལ་	སྒྲོལ་	VERB
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
དང་	དང་	NO_POS
༑		PUNCT
གོ་	གོ་	NOUN
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
ཅན་	ཅན་	PART
།		PUNCT
རྣམ་	རྣམ་	NOUN
གཟིགས་	གཟིགས་	VERB
མ་	མ་	PART
།		PUNCT
རལ་	རལ་	NO_POS
གཅིག་	གཅིག་	NUM
མ་	མ་	PART
།		PUNCT
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
ཤམ་	ཤམ་	NO_POS
མ་	མ་	PART
།		PUNCT
གྲག་	གྲག་	VERB
ལྡན་	ལྡན་	VERB
མ་	མ་	PART
དང་	དང་	NO_POS
།		PUNCT
