form	lemma	POS	morph
པོ་	པོ་	PART
ཉིད་	ཉིད་	DET
།		PUNCT
རང་	རང་	PRON
གིས་	གིས་	PART
རིག་	རིག་	VERB
ན་	ནས་	PART
རྟོགས་པ་	རྟོགས་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
ནི་	ནི་	NO_POS
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཅིང་	ཅིང་	PART
གྲོལ་བ་	གྲོལ་བ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
རོ་	རོ་	NOUN
། །		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
རང་	རང་	PRON
གིས་	གིས་	PART
རིག་	རིག་	VERB
ཅིང་	ཅིང་	PART
རྟོགས་པ་	རྟོགས་པ་	VERB
ར་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
ན་	ན་	ADP
ལམ་	གམ་	PART
ལ་	ལ་	ADP
འབད་	འབད་	VERB
ཅིང་	ཅིང་	PART
བསྒོམ་	བསྒོམ་	VERB
དགོས་པ་	དགོས་པ་	VERB
ཉིད་	ཉིད་	DET
དོ་	གོ་	PART
། ༈ །		PUNCT
སེམས་	སེམས་	NOUN
གདོད་མ་	གདོད་མ་	OTHER
ན་	ནས་	PART
དག་	དག་	DET
ན་	ན་	ADP
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
ན་	ནས་	PART
འཁོར་བ་	འཁོར་བ་	NOUN
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
དུ་	ལ་	PART
མི་	མི་	PART
རུང་	རུང་	SCONJ
ངོ་	ངོ་	PART
སྙམ་	སྙམ་	VERB
ན་	ན་	ADP
རང་རང་	རང་རང་	NO_POS
གིས་	གིས་	PART
རིག་པ་	རིག་པ་	VERB
གདོད་མ་	གདོད་མ་	OTHER
ན་	ནས་	PART
དག་	དག་	DET
ཀྱང་	ཀྱང་	PART
གློ་བུ་	གློ་བུ་	OTHER
གྱི་	གི་	PART
ཉོན་མོངས་པ་	ཉོན་མོངས་པ་	NOUN
འི་	གི་	PART
འགྱུར་བ་	འགྱུར་བ་	VERB
ས་	གིས་	PART
བསྒྲིབས་བ་	བསྒྲིབས་བ་	NO_POS
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
སེམས་	སེམས་	NOUN
འོད་གསལ་བ་	འོད་གསལ་བ་	NO_POS
མནན་པ་	མནན་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
ནི་ལ་	ནི་ལ་	NO_POS
ས་	གིས་	PART
དགེ་སྡིག་	དགེ་སྡིག་	NOUN
སྐྱེ་	སྐྱེ་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
ལ་	ལ་	ADP
ས་	གིས་	PART
ཀྱི་	གི་	PART
འབྲས་བུ་	འབྲས་བུ་	NOUN
རང་	རང་	PRON
གིས་	གིས་	PART
མྱོང་པ་	མྱོང་པ་	VERB
ས་	གིས་	PART
འཕྲོག་	འཕྲོག་	VERB
ཅིང་	ཅིང་	PART
ཡང་	ཀྱང་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
གསར་པ་	གསར་པ་	VERB
རང་	རང་	PRON
གིས་	གིས་	PART
བྱེད་པ་	བྱེད་པ་	VERB
ས་	གིས་	PART
འཁོར་བ་	འཁོར་བ་	NOUN
ར་	ལ་	PART
རྒྱུན་	རྒྱུན་	NOUN
མི་འཆད་པ་	མི་འཆད་པ་	NO_POS
ར་	ལ་	PART
འཁྱམས་པ་	འཁྱམས་པ་	VERB
ས་	གིས་	PART
།		PUNCT
རང་རིག་པ་	རང་རིག་པ་	NO_POS
དེ་	དེ་	DET
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
རང་	རང་	PRON
གཙོ་བོ་	གཙོ་བོ་	ADJ
ལྟ་	ལྟ་	OTHER
བདེ་སྡུག་	བདེ་སྡུག་	OTHER
ཐམས་ཅད་	ཐམས་ཅད་	DET
བྱེད་	བྱེད་	VERB
དོ་	གོ་	PART
། ༈ །		PUNCT
སེམས་	སེམས་	NOUN
དེ་ཉིད་	དེ་ཉིད་	NOUN
ཐབས་	ཐབས་	NOUN
ཀྱིས་	གིས་	PART
ཟིན་	ཟིན་	VERB
ན་	ན་	ADP
སྤང་བྱ་	སྤང་བྱ་	NOUN
གནས་	གནས་	NOUN
གྱུར་པ་	གྱུར་པ་	VERB
ནི་	ནི་	NO_POS
འདོད་ཆགས་	འདོད་ཆགས་	NOUN
དག་པ་	དག་པ་	VERB
སོ་སོ་	སོ་སོ་	PRON
ར་	ལ་	PART
རྟོག་པ་	རྟོག་པ་	VERB
དང་	དང་	NO_POS
ཞེ་སྡང་	ཞེ་སྡང་	NOUN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
དབྱིངས་	དབྱིངས་	NOUN
ཀྱི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
དང་	དང་	NO_POS
ཕྲག་དོག་	ཕྲག་དོག་	NOUN
བྱ་བ་	བྱ་བ་	VERB
གྲུབ་པ་	གྲུབ་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
